"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","","0"
"0","","0","Login page","1","0","LF_002 - Invalid credentials","0"
"0","","0","UI","1","0","Open base URL and validate title","0"
"0","","0","Login page","1","0","LF_001 - Empty fields validation","0"
"0","","0","API","1","0","GET /get echoes query params","0"
"0","","0","Login page","1","0","LF_003 - Login as User","0"
"0","","0","Login page","1","0","LF_005 - Logout functionality","0"
"0","","0","Login page","1","0","LF_004 - Login as Admin","0"
